"","V1","V2","V3","V4","V5"
"1",0.0393063583815029,0.13757225433526,0.764161849710983,0.0352601156069364,0.0236994219653179
"2",0.177215189873418,0.177215189873418,0.265822784810127,0.177215189873418,0.20253164556962
"3",0.153539381854437,0.193419740777667,0.165503489531406,0.0927218344965105,0.39481555333998
"4",0.154724159797083,0.501585288522511,0.103360811667724,0.149651236525048,0.0906785034876347
"5",0.100802854594112,0.226137377341659,0.0900981266726137,0.524085637823372,0.0588760035682426
"6",0.110831234256927,0.182619647355164,0.0818639798488665,0.0591939546599496,0.565491183879093
"7",0.131299734748011,0.0915119363395226,0.140583554376658,0.161803713527851,0.474801061007958
"8",0.151898734177215,0.590717299578059,0.106891701828411,0.0646976090014065,0.0857946554149086
"9",0.0834803057025279,0.138154027042916,0.113462669018225,0.274544385655497,0.390358612580835
"10",0.0648710166919575,0.123672230652504,0.0773899848254932,0.66236722306525,0.0716995447647951
"11",0.1325,0.1375,0.525,0.09,0.115
"12",0.403125,0.1515625,0.1703125,0.178125,0.096875
"13",0.528628495339547,0.218375499334221,0.0426098535286285,0.0679094540612517,0.142476697736352
"14",0.0927152317880795,0.130242825607064,0.112582781456954,0.0827814569536424,0.58167770419426
"15",0.0839328537170264,0.6810551558753,0.101918465227818,0.0455635491606715,0.0875299760191846
"16",0.0744939271255061,0.670445344129555,0.123886639676113,0.0364372469635627,0.0947368421052632
"17",0.148305084745763,0.156779661016949,0.498587570621469,0.0734463276836158,0.122881355932203
"18",0.507425742574257,0.117574257425743,0.101485148514851,0.153465346534653,0.120049504950495
"19",0.444862155388471,0.0989974937343358,0.101503759398496,0.210526315789474,0.144110275689223
"20",0.0645161290322581,0.135874877810362,0.6158357771261,0.0821114369501466,0.101661779081134
"21",0.136176066024759,0.569463548830812,0.118294360385144,0.0550206327372765,0.121045392022008
"22",0.0472312703583062,0.118892508143322,0.0928338762214984,0.568403908794788,0.172638436482085
"23",0.125,0.2125,0.1625,0.3,0.2
"24",0.113233287858117,0.0886766712141883,0.0900409276944066,0.518417462482947,0.189631650750341
"25",0.685610640870617,0.13180169286578,0.0556227327690447,0.0580411124546554,0.0689238210399033
"26",0.119791666666667,0.546875,0.205729166666667,0.08203125,0.0455729166666667
"27",0.0769230769230769,0.169365721997301,0.217273954116059,0.0384615384615385,0.497975708502024
"28",0.724867724867725,0.0652557319223986,0.102292768959436,0.054673721340388,0.0529100529100529
"29",0.117437722419929,0.476868327402135,0.103202846975089,0.183274021352313,0.119217081850534
"30",0.110137672090113,0.205256570713392,0.0838548185231539,0.065081351689612,0.53566958698373
