"","user","friend"
"1","2428753280","13295962"
"2","2428753280","847691253873496064"
"3","2428753280","1315527210"
"4","2428753280","268435708"
"5","2428753280","2300353356"
"6","2428753280","27498606"
"7","2428753280","386722042"
"8","2428753280","60933892"
"9","2428753280","2620106227"
"10","2428753280","1411144020"
"11","2428753280","383870257"
"12","2428753280","58544845"
"13","2428753280","828087934888841216"
"14","2428753280","3632842934"
"15","2428753280","947628197801332736"
"16","2428753280","524135993"
"17","2428753280","726096319"
"18","2428753280","921512057496883200"
"19","2428753280","787400654574718976"
"20","2428753280","939580607134425088"
"21","2428753280","2985480359"
"22","2428753280","945216833409470464"
"23","2428753280","935860273721827328"
"24","2428753280","928021841654042624"
"25","2428753280","909507240113131521"
"26","2428753280","947633984661532672"
"27","2428753280","129007211"
"28","2428753280","922526067327422464"
"29","2428753280","808071061"
"30","2428753280","1340762958"
"31","2428753280","874613731715502080"
"32","2428753280","2713675059"
"33","2428753280","938732630874447872"
"34","2428753280","2367354823"
"35","2428753280","928236720960692225"
"36","2428753280","844013523034230784"
"37","2428753280","937247681600196608"
"38","2428753280","160910161"
"39","2428753280","1375631593"
"40","2428753280","27231855"
"41","2428753280","3060219819"
"42","2428753280","894402955184529408"
"43","2428753280","228674325"
"44","2428753280","899874076210024449"
"45","2428753280","888591979600334848"
"46","2428753280","322803964"
"47","2428753280","731779820611215361"
"48","2428753280","2735504155"
"49","2428753280","889849092611780609"
"50","2428753280","19580392"
"51","2428753280","860249573809369089"
"52","2428753280","880377781498019840"
"53","2428753280","439468994"
"54","2428753280","890071994552774656"
"55","2428753280","394836700"
"56","2428753280","887427472391888901"
"57","2428753280","48297275"
"58","2428753280","623011223"
"59","2428753280","884538391399849984"
"60","2428753280","91497216"
"61","2428753280","2495048623"
"62","2428753280","2287026901"
"63","2428753280","757512115242401792"
"64","2428753280","1201461944"
"65","2428753280","20409936"
"66","2428753280","891672646085206016"
"67","2428753280","2493858830"
"68","2428753280","877047816689860608"
"69","2428753280","26615794"
"70","2428753280","2261263286"
"71","2428753280","716303603552624644"
"72","2428753280","2372307160"
"73","2428753280","867995400447315968"
"74","2428753280","907198734"
"75","2428753280","1660437499"
"76","2428753280","38626960"
"77","2428753280","4696515428"
"78","2428753280","864101889763422209"
"79","2428753280","2282819312"
"80","2428753280","893167533074862080"
"81","2428753280","822247916295241728"
"82","2428753280","765616296998408198"
"83","2428753280","2844386680"
"84","2428753280","893333850906140672"
"85","2428753280","206342963"
"86","2428753280","889897255561347072"
"87","2428753280","851855366245765120"
"88","2428753280","886122607254192128"
"89","2428753280","562371777"
"90","2428753280","895942700381294592"
"91","2428753280","262690133"
"92","2428753280","896248806089654273"
"93","2428753280","21023279"
"94","2428753280","41722502"
"95","2428753280","882570279645437952"
"96","2428753280","2738041101"
"97","2428753280","236574120"
"98","2428753280","891147661956567040"
"99","2428753280","889925097938661378"
"100","2428753280","129951759"
"101","2428753280","1664182602"
"102","2428753280","4840713799"
"103","2428753280","3016184372"
"104","2428753280","11347222"
"105","2428753280","735800216138461185"
"106","2428753280","882262135106969600"
"107","2428753280","486481422"
"108","2428753280","480675436"
"109","2428753280","3017509689"
"110","2428753280","890839057718267905"
"111","2428753280","2532005151"
"112","2428753280","215030779"
"113","2428753280","861560535795421185"
"114","2428753280","887169481289740288"
"115","2428753280","43483462"
