"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"45","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:16:55,FALSE,NA,"1171034746677121027",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mandaline_",166,TRUE,FALSE,NA,NA
"46","1A6E3292 :Battle ID
I need backup!
Lvl 100 Nezha
https://t.co/7uCCbY5Mub",FALSE,0,NA,2019-09-09 12:15:49,FALSE,NA,"1171034472306769921",NA,"<a href=""http://granbluefantasy.jp/"" rel=""nofollow""><U+30B0><U+30E9><U+30F3><U+30D6><U+30EB><U+30FC> <U+30D5><U+30A1><U+30F3><U+30BF><U+30B8><U+30FC></a>","CitradiHanson",0,FALSE,FALSE,NA,NA
"47","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:15:32,FALSE,NA,"1171034401825873920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haltiamieli",57,TRUE,FALSE,NA,NA
"48","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:15:32,FALSE,NA,"1171034399078408192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","athenongs",57,TRUE,FALSE,NA,NA
"49","RT @erisa_ee: <U+6388><U+6743><U+8F6C><U+8F7D>/authorized reproduce
<U+5927><U+85D5><U+5976><U+9F99><U+0001F409>
cr:<U+534A><U+7F50><U+4E4C><U+9F99><U+8336>
https://t.co/g4ADyxMTpj
#Nezha #Aobing #<U+85D5><U+997C> #oubing https://t.co/PwVyAkhnSo",FALSE,0,NA,2019-09-09 12:15:23,FALSE,NA,"1171034363787644931",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Book_Of_Tales",31,TRUE,FALSE,NA,NA
"50","RT @jacketsleeves: eiko and i were talking and it somehow became KFC nezha and Long John Silver Aobing......... https://t.co/TkhvZyM4K8",FALSE,0,NA,2019-09-09 12:14:49,FALSE,NA,"1171034220824846340",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KurinaKureina",39,TRUE,FALSE,NA,NA
"51","RT @owlsintophats: the perks of having a best friend with 6 arms
#nezha https://t.co/UODNU6vF96",FALSE,0,NA,2019-09-09 12:14:29,FALSE,NA,"1171034137668530176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KurinaKureina",331,TRUE,FALSE,NA,NA
"52","RT @cherubela_: I drew most of this on the ride back from the movie so excuse the shaky lines i was probably dropping tears and snot all ov…",FALSE,0,NA,2019-09-09 12:14:12,FALSE,NA,"1171034065211920385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Book_Of_Tales",8,TRUE,FALSE,NA,NA
"53","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:13:18,FALSE,NA,"1171033838354685952",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TomiLoey",166,TRUE,FALSE,NA,NA
"54","I want to cos test nezha and aobing but i don't have any wigs that work ;((((",FALSE,0,NA,2019-09-09 12:12:17,FALSE,NA,"1171033582518718464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mousseronn",0,FALSE,FALSE,NA,NA
"55","RT @erisa_ee: <U+6388><U+6743><U+8F6C><U+8F7D>/authorized reproduce
<U+5927><U+85D5><U+5976><U+9F99><U+0001F409>
cr:<U+534A><U+7F50><U+4E4C><U+9F99><U+8336>
https://t.co/g4ADyxMTpj
#Nezha #Aobing #<U+85D5><U+997C> #oubing https://t.co/PwVyAkhnSo",FALSE,0,NA,2019-09-09 12:11:42,FALSE,NA,"1171033435973963778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ailurophile69",31,TRUE,FALSE,NA,NA
"56","@comomula look the li parents are hottest of all no question, the flames on nezha aren't bc he's the demon pill but… https://t.co/mi0H0gVp07",FALSE,0,"comomula",2019-09-09 12:11:17,TRUE,"1171032699190034434","1171033331590291456","3331964601","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wenbuxing",0,FALSE,FALSE,NA,NA
"57","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:11:05,FALSE,NA,"1171033280575000576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","junmyeoni3",57,TRUE,FALSE,NA,NA
"58","RT @erisa_ee: #Nezha #Aobing #<U+54EA><U+5412> #<U+6556><U+4E19> <U+5B98><U+65B9>Q<U+7248>,<U+592A><U+0001F251><U+FE0F><U+0001F251><U+FE0F><U+0001F251><U+FE0F><U+4E86>!!! https://t.co/CRjiEppa2Z",FALSE,0,NA,2019-09-09 12:10:35,FALSE,NA,"1171033155832184835",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ailurophile69",19,TRUE,FALSE,NA,NA
"59","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:09:54,FALSE,NA,"1171032981508644865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ANDVOlD",57,TRUE,FALSE,NA,NA
"60","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:09:37,FALSE,NA,"1171032913464287232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tigriscantus",57,TRUE,FALSE,NA,NA
"61","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:09:35,FALSE,NA,"1171032903007866882",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gearrogue",166,TRUE,FALSE,NA,NA
"62","RT @owlsintophats: the perks of having a best friend with 6 arms
#nezha https://t.co/UODNU6vF96",FALSE,0,NA,2019-09-09 12:09:15,FALSE,NA,"1171032819843252224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kagi_S2S2",331,TRUE,FALSE,NA,NA
"63","RT @mkmydinnr: 190908 i had this silly idea for a nezha crossover that wouldn't go away until i drew it, Twin Jade Dragons of Cloud Recesse…",FALSE,0,NA,2019-09-09 12:09:14,FALSE,NA,"1171032816743669761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDZSbiatch27",635,TRUE,FALSE,NA,NA
"64","i want to see nezha !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",FALSE,0,NA,2019-09-09 12:09:13,FALSE,NA,"1171032810347536391",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luuakuu",0,FALSE,FALSE,NA,NA
"65","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:08:55,FALSE,NA,"1171032736246751232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shiroyasha1996",57,TRUE,FALSE,NA,NA
"66","RT @owlsintophats: the perks of having a best friend with 6 arms
#nezha https://t.co/UODNU6vF96",FALSE,0,NA,2019-09-09 12:08:53,FALSE,NA,"1171032727107358721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blueenoughsky",331,TRUE,FALSE,NA,NA
