TIME,OWNED,SEX,EDLVL,AGE,Playfulness,ValueUtility,FeelDeviceDependence,ATUseSophistication,FeelTimeManagingDevice,UseSelfEfficacy,NonPlayfulness,ValueHedonistic,VU,VH
120,60,1,5,34,0.6854604881,-0.484463663,0.0944643482,-0.376071714,-0.548157884,0.4069104193,-0.417574956,-0.73949116,0,0
80,,1,6,28,-0.482463462,0.7188616447,0.8487480103,-0.448914454,-2.508227452,0.0641236848,1.2587240889,0.5721219853,1,1
120,120,1,5,41,0.6928675985,-0.803423756,-0.00501908,-1.036182279,0.8443280195,-0.354081664,0.863624169,-0.816735077,0,0
60,60,2,6,29,-0.533269775,0.7219355528,-0.160763115,-0.632093006,0.7794609507,-0.921261725,0.0647845891,0.1420383924,1,
90,60,2,5,30,0.4749678374,-0.593162504,-0.757901116,-0.937411365,0.8602696102,-0.841950009,0.1894432515,-0.578956907,0,0
80,48,1,5,34,0.0072658692,2.0544097392,-0.676882138,-1.076100845,-2.228598169,-0.658320224,-0.821992313,1.7443380976,1,1
45,40,2,5,23,-0.25948042,-0.144665963,0.1703200619,-1.855367531,-0.604325189,-0.455679732,0.7872418812,-0.263477979,,0
180,72,1,6,23,1.7743190244,0.8838401282,-0.260738819,1.3059171697,0.6630458133,1.1100887662,0.1196238933,-1.205344943,1,0
120,72,1,6,36,-0.163496261,-0.445103231,0.0586333987,-0.829635087,0.4544710726,-0.457238761,0.638763145,-0.36648125,0,0
60,36,1,5,25,-0.706465773,-0.049439175,-0.929212817,0.7736304548,0.8388525017,0.8831277866,-0.032527605,-1.420156383,,0
15,72,2,5,34,0.0542312852,0.4020527985,1.3372134107,-0.22558741,1.048592474,-0.714071088,-0.126221317,-0.589385027,1,0
96,72,1,5,32,-1.017008226,-0.017965254,-0.578033905,-0.618389905,0.1282461429,-0.175870709,-0.543642082,-0.862994422,,0
120,36,2,5,28,-0.39750423,-1.338063343,0.736718048,-0.09565633,-0.714442694,0.1924147328,0.3520989038,-0.676617654,0,0
270,63,1,4,25,-0.607460836,-1.044595173,-1.414761726,0.9099341301,0.5258330918,-0.766209418,1.188258696,-0.498447281,0,0
120,96,2,5,24,-1.101976976,-0.968607683,0.0161423419,-1.335523726,0.8591907932,-0.228592919,0.2595350714,-0.312412271,0,0
45,108,2,6,29,-0.485383821,-0.894970938,-0.195385674,-0.679527713,0.3011662632,-0.783016243,-2.020392477,-0.368228641,0,0
20,96,1,6,30,1.0565017913,0.2035905577,-2.017221907,0.5274545258,0.3510109893,-0.245541113,-0.25613319,0.115004381,,
30,60,1,5,27,0.9870864449,-0.440563689,-0.900623532,0.6680385391,-0.419045604,-1.04323839,-1.040736242,-0.121685288,0,
90,36,1,5,25,0.8363502993,-0.808391703,-0.736315639,1.098612142,-2.049575869,-1.007037668,-0.271368064,-0.881723241,0,0
60,36,1,5,25,1.3356102437,-0.027770748,-1.229299454,0.1685195662,-2.052133929,-0.197699593,0.5298541124,-0.427199503,,0
