,1980.Total,1980.Low ,1980.Medium,1980.High,1985.Total,1985.Low ,1985.Medium,1985.High,1990.Total,1990.Low ,1990.Medium,1990.High,1995.Total,1995.Low ,1995.Medium,1995.High,2000.Total,2000.Low ,2000.Medium,2000.High,2005.Total,2005.Low ,2005.Medium,2005.High,2010.Total,2010.Low ,2010.Medium,2010.High
Colombia,43744,13920,12128,17696,83842,26774,23481,33587,100912,21875,34606,44431,118355,15878,53488,48989,145656,27478,53610,64568,196708,20695,73555,102458,222729,29432,80702,112595
Comoros,32,16,16,0,24,13,11,0,22,9,13,0,29,7,22,0,35,12,23,0,51,16,35,0,55,18,37,0
"Congo, Dem. Rep. of the",480,80,112,288,965,121,103,741,1312,79,55,1178,701,29,45,627,898,51,48,799,1289,69,72,1148,1443,77,76,1290
"Congo, Rep. of the",48,16,0,32,103,28,0,75,135,21,0,114,69,8,0,61,91,14,0,77,129,18,0,111,146,21,0,125
Costa Rica,7600,2624,2000,2976,13351,4497,3251,5603,14969,3344,4259,7366,16729,2740,6676,7313,20744,5302,6797,8645,34371,7534,13618,13219,32967,7925,11970,13072
Cote d'Ivoire,320,32,80,208,559,26,63,470,713,0,15,698,384,0,12,372,486,0,13,473,700,0,20,680,785,0,21,764
Croatia,20079,11544,3368,5167,26222,14565,4288,7369,19000,7315,4405,7280,19949,4323,7760,7866,24738,5713,8855,10170,32226,6955,11999,13272,34329,5586,12674,16069
Cuba,210800,89280,47776,73744,334995,153113,70187,111695,317385,113928,84324,119133,299091,68793,122796,107502,321068,94172,114549,112347,415378,96935,157963,160480,463587,104209,185173,174205
Cyprus,3744,1824,880,1040,5197,2143,1191,1863,4600,932,1315,2353,4530,536,1678,2316,4666,675,1281,2710,2342,222,313,1807,0,0,0,0
Czech Republic,23695,8810,4887,9998,28259,9699,5325,13235,19575,3575,4304,11696,17955,1757,5961,10237,16955,1542,5193,10220,19721,1533,6342,11846,16976,951,4955,11070
Denmark,18512,8064,4464,5984,21354,8250,4735,8369,14060,2383,3631,8046,12660,1163,4282,7215,11257,998,2786,7473,13104,980,2419,9705,12682,991,2776,8915
Djibouti,32,16,0,16,26,13,0,13,24,9,0,15,23,7,0,16,33,12,0,21,46,16,0,30,52,18,0,34
Dominica,816,448,176,192,3770,2201,777,792,5601,2602,1519,1480,4942,1296,2169,1477,4910,1181,1972,1757,10631,3155,4101,3375,10903,3381,3495,4027
Dominican Republic,43920,29136,8496,6288,95177,59510,18916,16751,107729,50703,29991,27035,129244,42311,55169,31764,192621,83080,65270,44271,250155,88042,91524,70589,282501,98918,97774,85809
Ecuador,26880,10976,7056,8848,48017,19994,12353,15670,52341,15665,17084,19592,67183,13949,30995,22239,95106,28753,36259,30094,149098,44168,55351,49579,182650,58336,63572,60742
Egypt,18482,1430,2343,14709,29472,2238,3470,23764,32951,1521,4200,27230,36658,947,6928,28783,45206,1359,7437,36410,60889,1881,10219,48789,62340,1620,10074,50646
El Salvador,23296,12736,4832,5728,102527,68959,17933,15635,142312,83028,33778,25506,161421,71864,61622,27935,254124,145119,72416,36589,428443,218713,136727,73003,506752,267356,153267,86129
Equatorial Guinea,16,0,0,16,29,0,0,29,36,0,0,36,19,0,0,19,24,0,0,24,35,0,0,35,39,0,0,39
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,2364,194,826,1344,5868,682,1762,3424,7924,600,2703,4621,10689,1549,2737,6403
Estonia,21099,5982,4522,10595,34221,8162,6603,19456,37624,4661,7887,25076,39558,2357,11650,25551,44404,2242,11065,31097,69090,2751,16278,50061,89045,4598,25002,59445
Ethiopia,3152,272,416,2464,9604,1123,1460,7021,15651,1277,2712,11662,18543,835,5493,12215,23564,1280,6977,15307,41854,1711,11888,28255,60425,3911,19679,36835
Fiji,2368,1232,496,640,4608,2096,1144,1368,5357,1548,1843,1966,6836,1098,3484,2254,9141,1853,4211,3077,12649,2675,5332,4642,14794,2530,6086,6178
Finland,8880,4144,1984,2752,10531,4514,2178,3839,7074,1613,1785,3676,6453,788,2006,3659,6175,678,1158,4339,6873,591,1800,4482,5290,277,1156,3857
France,32928,8368,7872,16688,43824,10137,9354,24333,38204,4706,8742,24756,46073,2685,13909,29479,59267,3338,14390,41539,56192,2676,10773,42743,56103,1888,8603,45612
Gabon,16,0,16,0,32,0,11,21,48,0,0,48,26,0,0,26,33,0,0,33,47,0,0,47,53,0,0,53
"Gambia, The",128,0,16,112,527,152,71,304,848,215,138,495,455,79,113,263,597,140,121,336,850,187,181,482,942,210,190,542
Georgia,1242,525,240,477,1671,641,300,730,1400,311,302,787,2390,210,680,1500,4025,348,923,2754,7690,692,1073,5925,6028,129,923,4976
Germany,258352,79760,73664,104928,311859,89496,79542,142821,229841,34758,63186,131897,258201,18458,97498,142245,300926,19824,97535,183567,205041,14881,59098,131062,201141,12087,56791,132263
Ghana,4464,128,592,3744,8352,248,1242,6862,10947,204,1912,8831,17012,436,5180,11396,26043,1271,7710,17062,42124,2172,12256,27696,51909,2212,14788,34909
Greece,90544,49184,21776,19584,116609,62758,25765,28086,84044,32162,23926,27956,74381,18160,30885,25336,72850,22148,24059,26643,81873,23518,30748,27607,71596,19388,24436,27772
Grenada,2256,640,848,768,4193,1005,1578,1610,5241,685,2272,2284,6374,702,3493,2179,7514,1580,3479,2455,10296,1170,5722,3404,11348,1392,5488,4468
Guatemala,16736,8848,4016,3872,53945,34178,9900,9867,70236,38223,16410,15603,88540,37359,33347,17834,148596,81859,42456,24281,280919,146684,85925,48310,355289,194926,98047,62316
Guinea,352,80,96,176,499,146,108,245,441,114,92,235,242,42,75,125,313,74,80,159,2432,293,920,1219,5109,1304,1464,2341
