"Country" "Democracy" "ID" "Decade" "Risk" "Time"
"Malaysia" 0 122 "Y2" 0.0011858 2
"Malaysia" 0 122 "Y3" 0.0020185 3
"Malaysia" 0 122 "Y4" 0.000663 4
"Malaysia" 0 122 "Y5" 0.0006673 5
"Singapore" 0 123 "Y1" 0.0007389 1
"Singapore" 0 123 "Y2" 0.0010387 2
"Singapore" 0 123 "Y3" 0.0009548 3
"Singapore" 0 123 "Y4" 0.0005321 4
"Singapore" 0 123 "Y5" 0.0004292 5
"Brunei" 0 124 "Y1" 0.0009723 1
"Brunei" 0 124 "Y2" 0.0011261 2
"Brunei" 0 124 "Y3" 0.0014181 3
"Brunei" 0 124 "Y4" 0.0009667 4
"Brunei" 0 124 "Y5" 0.0008851 5
"East Timor" 1 125 "Y4" 0.0024424 4
"East Timor" 1 125 "Y5" 0.002116 5
"Australia" 1 126 "Y1" 0.0013951 1
"Australia" 1 126 "Y2" 0.0011024 2
"Australia" 1 126 "Y3" 0.0015261 3
"Australia" 1 126 "Y4" 0.0013111 4
"Australia" 1 126 "Y5" 0.0007908 5
"Papua New Guinea" 1 127 "Y1" 0.007031 1
"Papua New Guinea" 1 127 "Y2" 0.0074238 2
"Papua New Guinea" 1 127 "Y3" 0.0107935 3
"Papua New Guinea" 1 127 "Y4" 0.0041112 4
"Papua New Guinea" 1 127 "Y5" 0.005018 5
"New Zealand" 1 128 "Y1" 0.0013004 1
"New Zealand" 1 128 "Y2" 0.001241 2
"New Zealand" 1 128 "Y3" 0.0019639 3
"New Zealand" 1 128 "Y4" 0.0014153 4
"New Zealand" 1 128 "Y5" 0.000907 5
"Vanuatu" 1 129 "Y2" 0.0026504 2
"Vanuatu" 1 129 "Y3" 0.0026888 3
"Vanuatu" 1 129 "Y4" 0.0010709 4
"Vanuatu" 1 129 "Y5" 0.0011469 5
"Solomon Islands" 1 130 "Y1" 0.0030463 1
"Solomon Islands" 1 130 "Y2" 0.0037376 2
"Solomon Islands" 1 130 "Y3" 0.0028068 3
"Solomon Islands" 1 130 "Y4" 0.0015706 4
"Solomon Islands" 1 130 "Y5" 0.0012408 5
"Kiribati" 1 131 "Y1" 0.0019673 1
"Kiribati" 1 131 "Y2" 0.0043522 2
"Kiribati" 1 131 "Y3" 0.002754 3
"Kiribati" 1 131 "Y4" 0.0011925 4
"Kiribati" 1 131 "Y5" 0.0010832 5
"Tuvalu" 1 132 "Y1" 0.0004988 1
"Tuvalu" 1 132 "Y2" 0.0015782 2
"Tuvalu" 1 132 "Y3" 0.0009943 3
"Tuvalu" 1 132 "Y4" 0.0007534 4
"Tuvalu" 1 132 "Y5" 0.0011469 5
"Fiji" 0 133 "Y1" 0.0014846 1
"Fiji" 0 133 "Y2" 0.0207247 2
"Fiji" 0 133 "Y3" 0.0216968 3
"Fiji" 0 133 "Y4" 0.0077442 4
"Fiji" 0 133 "Y5" 0.0035516 5
"Tonga" 0 134 "Y1" 0.0006719 1
"Tonga" 0 134 "Y2" 0.0018289 2
"Tonga" 0 134 "Y3" 0.0020808 3
"Tonga" 0 134 "Y4" 0.0007227 4
"Tonga" 0 134 "Y5" 0.0010907 5
"Nauru" 1 135 "Y1" 0.0002725 1
"Nauru" 1 135 "Y2" 0.0007501 2
"Nauru" 1 135 "Y3" 0.0007832 3
"Nauru" 1 135 "Y4" 0.0004268 4
"Nauru" 1 135 "Y5" 0.0021355 5
"Marshall Islands" 1 136 "Y1" 0.0008859 1
"Marshall Islands" 1 136 "Y2" 0.0021619 2
"Marshall Islands" 1 136 "Y3" 0.0024967 3
"Marshall Islands" 1 136 "Y4" 0.0008484 4
"Marshall Islands" 1 136 "Y5" 0.0009725 5
"Palau" 1 137 "Y2" 0.0024576 2
"Palau" 1 137 "Y3" 0.0018072 3
"Palau" 1 137 "Y4" 0.0006108 4
"Palau" 1 137 "Y5" 0.0006016 5
"Micronesia" 1 138 "Y1" 0.0010291 1
"Micronesia" 1 138 "Y2" 0.0039047 2
"Micronesia" 1 138 "Y3" 0.0030161 3
"Micronesia" 1 138 "Y4" 0.0016187 4
"Micronesia" 1 138 "Y5" 0.0009088 5
"Samoa" 1 139 "Y1" 0.0016843 1
"Samoa" 1 139 "Y2" 0.0020546 2
"Samoa" 1 139 "Y3" 0.0023191 3
"Samoa" 1 139 "Y4" 0.0007222 4
"Samoa" 1 139 "Y5" 0.0006461 5
