"Country" "Country_Code" "Indicator" "Indicator_Code" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "Classification"
"12" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" 1.803891792 1.729251512 1.610819106 -3.445996126 3.452794946 3.820021828 2.407918958 1.030043405 4.060206324 2.137363796 2.009850965 -1.637068681 -0.774858973 3.048881447 2.956023912 2.641878448 2.592040036 2.79120713 3.35728009 3.813926147 2.636834169 0.564896166 2.593040335 1.80426058 2.945228429 1.850427299 1.470043994 3.103645266 1.640692117 -0.264956601 0.431465531 0.960159777 1.864033359 0.843454781 1.107795434 1.006680566 1
"13" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" 10.12658228 9.691745036 11.14551084 10.11356332 3.950184861 6.739049045 9.084531744 8.488745981 7.231772377 7.559425097 7.272260054 3.222679913 0.985915493 1.813110181 1.894977169 4.638135783 2.6124197 0.250417362 0.853455454 1.465428277 4.475183076 4.380841121 3.00317105 2.770735241 2.343612335 2.668732782 3.538487339 2.332361516 4.352643242 1.82011224 2.845225682 3.303850156 1.762780156 2.449888641 2.487922705 1.508366722 1
"14" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" 10.01221446 9.524514667 11.72269179 10.15574629 7.869237615 4.623232658 6.394984415 7.061425253 7.210523777 9.259652552 6.118566796 3.042064209 1.495656856 0.877815233 1.000644772 2.218595917 2.686613171 1.224605578 1.272447623 0.338692335 2.557370074 4.710102504 2.861623153 3.115245667 3.282252142 3.709023763 5.064586418 4.975641841 4.536310854 4.925265473 1.009572432 6.184351239 2.055141057 -0.166501266 1.438747949 -0.701661698 1
"15" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" -0.812286059 -1.210704185 -2.214498415 -0.854919611 -1.373992301 -2.052734375 -1.749275362 -0.286945199 0.283299366 -2.490290987 0.007518116 2.002196558 3.225328351 3.46282269 3.148754529 3.116830842 2.829149683 1.952649457 2.204110054 2.374314991 2.648601676 2.981482111 2.658333333 3.104166667 3.2 3.366666667 3.55 3.666666667 4.183333333 2.941666667 3.066666667 3.4 3.058333333 2.929166667 3.045833333 3.270833333 1
"16" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" 9.979166667 11.83333333 13.29166667 12.41666667 11.5 12.41666667 15 15.08333333 14.08333333 16.45833333 16.35416667 13.41666667 10.58333333 9.416666667 9.0875 10.5 9.729166667 7.166666667 6.683333333 6.566666667 7.716666667 6.841666667 6.3625 6.6125 7.05 7.258333333 7.6125 8.195833333 8.908333333 6.020833333 7.279166667 7.7375 6.975 6.179166667 5.95 5.575 1
"17" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" 39.80887256 30.75688036 21.41006336 30.49844972 25.80804392 32.91394228 65.4481073 81.50513584 58.29016966 46.79366126 34.65863261 44.4147646 41.49717495 65.45472452 67.7146534 66.56455645 77.76561107 67.82089873 82.27760345 109.9419754 89.73348201 99.00525947 96.31335278 125.4205068 126.5881406 115.8916734 146.5888291 152.0694352 64.8013828 136.1035882 127.2657389 86.16600257 90.16245893 87.16033472 88.29201069 88.23385783 1
"18" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" 59668510000 54379650000 41525790000 54036060000 49939570000 59400110000 1.193e+11 1.54351e+11 1.37644e+11 1.40354e+11 1.07936e+11 1.44823e+11 1.35153e+11 2.04463e+11 2.18865e+11 2.45218e+11 3.12477e+11 2.95766e+11 3.28928e+11 4.27835e+11 3.72794e+11 3.75131e+11 3.80087e+11 5.8553e+11 7.76403e+11 8.04015e+11 1.09586e+12 1.29832e+12 6.83872e+11 1.26191e+12 1.45449e+12 1.19819e+12 1.38687e+12 1.36596e+12 1.28871e+12 1.18708e+12 1
"19" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" NA NA NA NA NA NA NA NA NA -193022586.7 -171857001.5 -161751067.2 -179815256.3 -187813107.4 -216149475.8 -299845268.9 -259073486.4 -216098612.7 -205015720.1 -237735132 -316037392.4 -211754652 -225117840.1 -154941381.2 -169876142.9 -121156802.5 248031588 -202444781.6 -382547366.6 -347860764.4 -286810500.4 -360449770.9 -408619773 -460610690.4 -359658322 -457202643.6 1
"20" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" NA NA NA NA NA NA NA NA NA -17885982075 -15206062114 -11087725706 -10134035514 -9717000397 -16666732291 -18846130363 -14074965648 -12780499104 -17712763085 -21651816089 -15048345265 -7722005364 -16036456525 -28771663192 -40641469114 -42196079138 -43714374664 -62931241088 -51156776269 -48261682640 -44133960646 -42731460138 -73326879492 -54632442052 -41330997630 -53386761172 1
"21" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" 1780213127 519753155.6 781630078.4 887969979.6 -224508612.8 963869484.7 1013938361 3203787301 1107289084 1401061654 1274976096 2797899802 797611109.7 7003635511 8120190717 2707946240 2222441811 8948809065 11063178320 11316360789 -486136277.3 7388129185 464547048.8 12446167748 -24585965976 9668321864 14032276724 14096721123 19794714781 34461080654 13149531228 1307736453 14324824733 15560112653 10767216523 13839694094 1
"22" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" NA NA NA NA NA NA NA NA NA -8112295912 -7566983510 -9302902129 736687172.4 -8052294090 -15975783689 -12270826516 -20549055305 -13092557940 -3916797786 -14086844719 -4071338218 -6371942604 -339472612.6 -41260991988 -15943896032 -32719174101 -52294971642 23452260088 -32866552387 -75822478795 -68783482636 -28743543871 -13510777357 -55041109408 -22235331797 -47750589522 1
"23" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" -0.030040109 2.108038253 1.404347546 2.05247611 3.36589232 7.449047225 8.087801914 7.492808976 6.410573621 6.588599372 9.645437344 10.06831777 8.953758967 8.464548339 8.006736241 8.101660964 6.85829757 5.870174603 5.342900105 6.206951862 5.030644399 2.035681478 3.403482017 3.391597731 3.648010941 3.422372945 2.425092668 3.067560661 4.182300335 1.044141137 6.206930772 1.462690823 4.820785011 6.356251171 4.447267087 6.321013831 1
"24" "Austria" "AUT" "Consumer price index (2010=100, December)" "GFDD.OE.01" 47.59 50.64 53.03 55.04 57.82 59.44 60.09 61.08 62.22 64.02 66.24 68.28 71.16 73.68 75.6 76.98 79.06 79.85 80.4 81.5 83.65 85.31 86.88 87.95 90.51 91.91 93.16 96.54 97.82 98.83 101.11 104.31 107.21 109.21 110.31 111.43 1
"25" "Austria" "AUT" "Stock market total value traded to GDP (%)" "GFDD.DM.02" 0.12 0.12 0.11 0.14 0.17 0.66 1.16 1.15 1.29 10.52 26.64 18.8 3.38 2.94 3.84 4.81 4.83 4.95 6.88 6.7 5.06 4.26 3.34 3.8 6.51 11.01 18.93 28.29 27.82 18.19 12.56 10.58 7.33 5.93 6.29 7.37 1
"26" "Austria" "AUT" "Stock market turnover ratio (%)" "GFDD.EM.01" 5.07 5.25 4.84 8.94 7.84 26.58 18.48 17.25 21.8 155.67 209.48 30.53 20.59 29.12 31.31 40.69 33.69 37.45 92.47 67.15 33.05 26.83 21.63 24.87 34.64 40.46 51.83 57.96 59.06 55.38 41.62 35.34 25.61 23.41 26.8 35.94 1
"27" "Austria" "AUT" "Stock price volatility" "GFDD.SM.01" NA NA NA NA NA NA NA 15.94 16.28 12.17 27.65 31.63 22.98 21.07 16.43 13.36 13.73 14.05 21.12 23.81 17.59 14.71 14.34 14.34 13.41 14.07 16.82 20.15 26.86 46.82 35.31 24.42 28.52 21.65 16.82 17.73 1
"28" "Austria" "AUT" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" 46.49494073 49.65978727 52.36148554 54.1079405 57.17308151 58.99672784 60.00021577 60.8402188 62.01522302 63.60522874 65.6802362 67.87024408 70.60525391 73.16526312 75.3302709 77.025277 78.44528211 79.47159847 80.20375031 80.65482374 82.58665639 84.78630303 86.31423869 87.48426369 89.28751396 91.34538212 92.66954163 94.67917243 97.7239795 98.21876823 100 103.2669389 105.8338195 107.9506626 109.6841403 110.6675322 1
"29" "Austria" "AUT" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.984766535 3.288676854 3.816917435 4.514862982 2.589979283 2.941595041 1.583652611 1.507736262 1.956269643 2.315526492 1.920849615 1
"30" "Austria" "AUT" "GDP (current US$)" "NY.GDP.MKTP.CD" 81861232823 70863106877 71103585384 71947277233 67821568599 69219621907 98797587382 1.23869e+11 1.33018e+11 1.32785e+11 1.66062e+11 1.73376e+11 1.94608e+11 1.89921e+11 2.03045e+11 2.40458e+11 2.3672e+11 2.12323e+11 2.17684e+11 2.16725e+11 1.96422e+11 1.96954e+11 2.12971e+11 2.60721e+11 2.99857e+11 3.14649e+11 3.34309e+11 3.86459e+11 4.27612e+11 3.97594e+11 3.90212e+11 4.29037e+11 4.07452e+11 4.28248e+11 4.38376e+11 3.76967e+11 1
"31" "Austria" "AUT" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" 49.07709348 52.37343872 55.17818819 57.09440733 59.92045101 61.6958913 63.51653564 65.06440071 66.05783963 68.01629666 70.05656819 72.60793842 75.13403621 77.20554513 79.15494106 80.59074683 81.3608876 82.30534737 82.64921131 82.87734057 84.03054732 85.59402505 86.57433684 87.70785169 89.28106759 91.57371972 93.32152821 95.42311787 97.15868875 99.009087 100 101.8915906 103.9184159 105.5641444 107.4497786 109.4777743 1
"32" "Austria" "AUT" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" NA NA NA NA NA NA NA NA NA NA 70.05656819 72.60793842 75.13403621 77.20554513 79.15494106 80.59074683 81.3608876 82.30534737 82.64921131 82.87734057 84.03054732 85.59402505 86.57433684 87.70785169 89.28106759 91.57371972 93.32152821 95.42311787 97.15868875 99.009087 100 101.8915906 103.9184159 105.5641444 107.4497786 109.4777743 1
"33" "Austria" "AUT" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" 1.731485369 -0.144294474 2.011254376 2.973088013 0.051275253 2.498678494 2.301392755 1.357167997 3.295880256 3.887074761 4.345641565 3.441627387 2.093524719 0.526809483 2.402118754 2.667983671 2.398314295 2.20501964 3.559966919 3.589987751 3.368407715 1.35051608 1.655854943 0.756156576 2.705743088 2.140682596 3.350831358 3.621510423 1.547263839 -3.799075048 1.928673056 2.807999932 0.7457561 0.124223545 0.644844832 0.963058399 1
"34" "Austria" "AUT" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" 10843.36172 9362.639985 9387.677728 9514.431834 8969.405618 9150.001211 13051.55561 16353.27943 17536.27209 17426.86354 21628.76023 22356.92392 24820.22783 24023.51547 25584.91782 30252.79469 29742.42881 26646.88394 27289.63071 27116.67608 24517.26745 24489.73553 26351.37568 32102.93055 36693.40262 38242.04252 40430.99361 46586.65025 51386.37665 47654.18721 46657.0629 51126.74139 48333.57273 50504.71532 51322.63997 43665.00947 1
"35" "Austria" "AUT" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" 1.731377566 -0.398620302 1.938121174 3.139628062 0.057573583 2.450565668 2.236401899 1.293045212 3.149746866 3.420101728 3.553547811 2.413986068 0.976092341 -0.298754084 2.008761625 2.510912833 2.260149557 2.089269973 3.446394579 3.388635746 3.120139786 0.963288543 1.156956244 0.266532716 2.070515729 1.447196507 2.840716802 3.286168681 1.229875862 -4.050746665 1.683936621 2.462037275 0.287464003 -0.458901349 -0.088053884 -0.108113771 1
"36" "Austria" "AUT" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" 6.325389821 6.806862203 5.440414508 3.335380835 5.66486358 3.18969397 1.700921333 1.4 1.931295201 2.563895832 3.262322144 3.334348356 4.029762782 3.625805538 2.959065127 2.250099562 1.843557287 1.308321332 0.921274845 0.56240939 2.395185512 2.663440722 1.802101999 1.355541125 2.061228151 2.304765879 1.449618451 2.168599053 3.21592066 0.506312509 1.813535031 3.266938912 2.485675087 2.000157493 1.605805605 0.896567005 1
"37" "Austria" "AUT" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" 5.580629265 6.716667596 5.355289895 3.472783723 4.949773212 2.962995544 2.950997707 2.436948201 1.526854792 2.964760937 2.999680423 3.641871557 3.479093117 2.757084577 2.52494289 1.813918063 0.955619352 1.160827758 0.417790526 0.276021092 1.391462054 1.860606397 1.145303987 1.309296606 1.793700192 2.567904025 1.908635457 2.251988046 1.818815948 1.904511339 1.000830362 1.891590589 1.989197853 1.583673557 1.786244959 1.887389371 1
"38" "Austria" "AUT" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.77 3.4325 NA NA NA 3.414166667 3.369166667 3.0325 2.774166667 2.443333333 2.553333333 3.474166667 NA NA NA NA NA NA 1
"39" "Austria" "AUT" "Lending interest rate (%)" "FR.INR.LEND" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.420833333 5.638333333 NA NA NA 5.4975 5.276666667 4.995833333 5.5075 6.303333333 6.82 5.035 NA NA NA NA NA NA 1
"40" "Austria" "AUT" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" 2.389421626 2.234773593 2.123212201 2.123985867 2.190586314 6.647768181 6.737381121 6.408915388 7.540563095 18.27203509 15.84931549 13.97654159 10.14844269 13.81528459 14.19378974 12.73294632 13.48197578 17.34149366 1.194476611 15.23724085 15.24028101 12.79709857 15.76655021 21.67924573 29.2726867 40.12454368 57.66225133 61.18331302 17.84065561 28.69157753 32.29834119 19.87461411 26.02438778 27.47737163 22.07928595 25.48745022 1
"41" "Austria" "AUT" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" 1956010000 1583630000 1509680000 1528150000 1485690000 4601560000 6656370000 7938680000 10030320000 24262550000 26319750000 24231900000 19749700000 26238140000 28819770000 30617340000 31914600000 36820060000 2600180000 33022950000 29935220000 25204350000 33578130000 56522450000 87776270000 1.26251e+11 1.9277e+11 2.36448e+11 76288700000 1.14076e+11 1.26032e+11 85269520000 1.06037e+11 1.17671e+11 96790330000 96079380000 1
"42" "Austria" "AUT" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -83534414.52 -1139497949 41911608.78 -244064003.4 -151744905.7 268415406.6 -457937524.8 -578049339.6 -650696851.6 -464279817.6 -1938570787 1
"43" "Austria" "AUT" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 432238912.7 14807681385 16910232391 14991011007 12752168712 4747983191 6092771594 6606292393 14428098208 3372927797 5490019932 1
"44" "Austria" "AUT" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" 9739748.562 -1414072.129 4938749.744 7546035.039 2561460.15 107406782.3 103626940.1 239618602.7 388525795.2 864226017.5 667634806.3 185912346.1 157711018.1 1182477116 1303984819 1265085087 2653291672 2609060892 992791799.5 2130473130 3435984521 -4537808012 2771953772 2430711655 6926118795 5998823495 10357778923 3941313396 -6655829502 149928494.7 -539014491 -225796765.1 730254680.3 1767755970 1122798251 1412811670 1
