Date Event Began,Date of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW), Number of Customers Affected 
8/13/2004,8/13/2004,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",FRCC,Hurricane Charley,700,"200,000"
8/13/2004,8/13/2004,"Eastern Hillsborough, Polk County, Florida",FRCC,Hurricane Charley,250,"78,000"
8/13/2004,8/14/2004,"New Smyrna Beach, Florida",FRCC,Hurricane Charley,65,"23,000"
8/14/2004,8/14/2004,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,Hurricane Charley,500,"94,000"
8/20/2004,8/20/2004,"Boston, Massachusetts",NPCC,Major Transmission Line Tripped due to Lightning Strike,"22,700","380,000"
8/29/2004,8/29/2004,Southeastern South Carolina,SERC,Tropical Storm Gaston,450,"125,000"
8/30/2004,8/31/2004,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,Tropical Storm Gaston,150,"99,816"
9/3/2004,9/5/2004,"City of Fort Pierce, Florida",FRCC,Hurricane Frances,125,"26,000"
9/4/2004,9/6/2004,"West Palm Beach to Daytona Beach, Florida",FRCC,Hurricane Frances,"6,000","2,775,093"
9/4/2004,9/12/2004,"Hillsborough, Pasco, and Polk County, Florida",FRCC,Hurricane Frances,"1,100","268,000"
9/5/2004,9/9/2004,"Orlando, Florida",FRCC,Hurricane Frances,200,"65,000"
9/6/2004,9/9/2004,"Florida, Mississippi, Alabama, Georgia",SERC,Hurricane Frances,"3,000","99,000"
9/7/2004,9/8/2004,Georgia,SERC,Hurricane Frances,"2,200","150,000"
9/15/2004,9/17/2004,"Florida, Mississippi, Alabama, Georgia",SERC,Hurricane Ivan,916,"916,316"
9/16/2004,9/20/2004,Western  North and South Carolina,SERC,Hurricane Ivan,500,"175,000"
9/16/2004,9/16/2004,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",SERC,Hurricane Ivan,263,"75,000"
9/17/2004,9/18/2004,Western North Carolina,SERC,Hurricane Ivan,400,"112,000"
9/25/2004,9/26/2004,"City of Fort Pierce, Florida",FRCC,Hurricane Jeanne,125,"26,000"
9/26/2004,9/27/2004,"Hillsborough, Pasco, and Polk County, Florida",FRCC,Hurricane Jeanne,"1,250","285,300"
9/26/2004,9/30/2004,"Orlando and St. Cloud, Florida",FRCC,Hurricane Jeanne,350,"110,000"
9/27/2004,9/27/2004,Georgia,SERC,Hurricane Jeanne,854,"85,455"
10/18/2004,10/20/2004,Northern California,WECC,Severe Storm with High Wind Gusts,140,"407,440"
10/28/2004,10/28/2004,"San  Jose, California",WECC,Major Transmission Distribution System Interruption,103,"59,458"
11/14/2004,11/15/2004,Nova Scotia,NPCC,"Heavy Snow, High Winds and Rain/Major Distribution System Interruption",165,"165,000"
11/24/2004,11/24/2004,Georgia,SERC,Strong Thunderstorms,100,"83,450"
12/27/2004,12/27/2004,"Salinas, California and surrounding communities",WECC,Severe Weather/Line Relayed,100,"95,000"
1/4/2005,1/14/2005,Eastern one third of the state of Kansas,SPP,Winter Storm,200,"211,000"
1/7/2005,1/10/2005,Northern California,WECC,Winter Storm,120,"442,000"
1/29/2005,1/31/2005,Parts of Alabama and Georgia,SERC,Ice Storm,100,"150,000"
1/29/2005,1/30/2005,Georgia,SERC,Ice Storm,65 to 100,"82,000"
3/8/2005,3/8/2005,Eastern and Central North Carolina,SERC,Wind Storms,180,"51,600"
4/30/2005,4/30/2005,Alabama and Georgia,SERC,Thunderstorms,100,"51,808"
6/6/2005,6/8/2005,Central/Eastern New York state,NPCC,Strong Thunderstorms,N/A,"65,000"
6/8/2005,6/10/2005,Minnesota,MRO,Strong Thunderstorm,75,"300,000"
7/5/2005,7/6/2005,"Southeast and Northeast, Louisiana including the New Orleans area",SPP,Tropical Storm Cindy,unknown,"287,000"
7/10/2005,7/12/2005,"Alabama, Mississippi, Florida, Georgia",SERC,Hurricane Dennis,45,"228,102"
7/10/2005,7/11/2005,Southwest Alabama and Western Panhandle of Florida,SERC,Hurricane Dennis,51.2,"50,000"
7/21/2005,7/21/2005,Southern California,WECC,CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,197,"128,050"
7/22/2005,7/22/2005,Southern California,WECC,CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,206,"133,900"
7/28/2005,8/1/2005,Piedmont North and South Carolina,SERC,Severe Thunderstorm,300,"52,200"
8/25/2005,8/25/2005,Southern California,WECC,CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,864,"409,000"
8/29/2005,8/30/2005,"Buras, Louisiana",SPP,Hurricane Katrina,N/A,"1,100,000"
8/29/2005,8/29/2005,"Alabama, Florida, Mississippi",SERC,Hurricane Katrina,"5,120","512,049"
8/29/2005,9/10/2005,"Alabama, Mississippi,  Tennessee",SERC,Hurricane Katrina,118.5,"323,529"
8/29/2005,8/29/2005,East and Southeast Louisiana,SPP,Hurricane Katrina,300,"143,000"
9/12/2005,9/12/2005,"Los Angeles, California",WECC,Breaker protection cable accidentally cut,"2,578","900,000"
9/14/2005,9/15/2005,Eastern North Carolina,SERC,Hurricane Ophelia,215,"60,000"
9/21/2005,9/27/2005,Minnesota,MRO,High Winds/Tornados,N/A,"200,000"
9/23/2005,9/25/2005,"Texas, Louisiana, Arkansas, and Mississippi",SPP,Hurricane Rita,N/A,"766,000"
9/23/2005,10/6/2005,West and Southwest Louisiana,SPP,Hurricane Rita,350,"125,000"
10/23/2005,10/24/2005,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",FRCC,Hurricane Wilma,"10,000","3,241,437"
10/24/2005,10/24/2005,"Florida counties of Collier, Charlotte and Lee",FRCC,Hurricane Wilma,280,"105,000"
10/24/2005,11/10/2005,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",FRCC,Hurricane Wilma,148,"84,900"
12/15/2005,12/21/2005,Piedmont North Carolina and South Carolina,SERC,Ice Storm,"3,500","683,000"
12/15/2005,12/16/2005,Northeast Georgia,SERC,Ice Storm,75,"52,659"
12/31/2005,1/5/2006,Northern and Central California,WECC,Severe Storms,800,"1,667,316"
1/14/2006,1/16/2006,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,High Winds,--,"142,315"
1/18/2006,1/18/2006,Southern and Central Maine,NPCC,Severe Storm,75,"63,000"
2/4/2006,2/8/2006,Western Washington,WECC,Severe Windstorm,--,"140,000"
2/4/2006,2/6/2006,"Snohomish County, Washington",WECC,Strong Winds,150,"123,827"
2/11/2006,2/14/2006,Baltimore Metropolitan and Central Maryland,RFC,Major Snow Storm,500,"180,000"
2/12/2006,2/14/2006,Entire Atlantic City Electric territory Southern New Jersey,RFC,Winter Snow/Ice Storm,80,"130,000"
2/12/2006,2/12/2006,Northern and Northwestern Virginia,RFC,Severe Snow Storm,250,"126,000"
2/12/2006,2/14/2006,"Washington DC, Montgomery and Prince Georges Counties MD",RFC,Major Snow Storm,300,"60,000"
2/12/2006,2/13/2006,Entire Delmarva Power service territory,RFC,Winter Snow/Ice Storm,50,"58,000"
2/16/2006,2/20/2006,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,Severe Thunderstorm/ Snow/Ice Storm,100,"252,089"
2/17/2006,2/17/2006,Upstate New York,NPCC,Severe Weather,250,"200,000"
2/27/2006,3/1/2006,Northern and Central California,WECC,Severe Winter Storm,-,"160,000"
3/9/2006,3/9/2006,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,Severe Weather,N/A,"73,000"
3/12/2006,3/14/2006,"Springfield, Illinois and vicinity",RFC,Severe Weather,200,"65,400"
4/2/2006,4/5/2006,Southern half of Indiana,RFC,Major Storms/Tornadoes,"1,000","186,000"
4/8/2006,4/8/2006,North and Central Alabama and Northern Georgia areas,SERC,Severe Weather/ Tornadoes,300,"115,589"
5/3/2006,5/3/2006,City of Bakersfield area,WECC,Transmission Equipment Failure/Fire,300,"55,655"
5/25/2006,5/27/2006,"Southwest Ohio, Northern Kentucky, Central Indiana",RFC,Severe Weather,800,"210,000"
6/1/2006,6/3/2006,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,Severe Weather,N/A,"111,555"
6/1/2006,6/3/2006,Central Maryland,RFC,Severe Thunderstorms,335,"70,000"
6/11/2006,6/11/2006,"Charlotte, North Carolina Metropolitan area",SERC,Severe Thunderstorm,70,"72,000"
6/22/2006,6/27/2006,Ohio and Indiana,RFC,Severe Thunderstorms,750,"195,000"
7/2/2006,7/3/2006,Northern Virginia,RFC,Severe Thunderstorms,300,"75,000"
7/4/2006,7/4/2006,Northern Virginia,RFC,Severe Thunderstorms,335,"67,000"
7/16/2006,7/21/2006,Middle 1/3 of Michigan Lower Peninsula,RFC,Severe Lightning Storms,150,"315,000"
7/17/2006,7/18/2006,Northern Counties of Illinois,RFC,Severe Lightning Storms,N/A,"170,519"
7/17/2006,7/25/2006,"Northwest Queens, New York City",NPCC,Severe Weather/Public Appeals Made/Voltage Reduction,N/A,"25,000"
7/18/2006,7/23/2006,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,Severe Lightning Storms,N/A,"492,955"
7/19/2006,7/31/2006,Greater St. Louis Metropolitan area (Missouri and Illinois),MRO,Severe Storms (3) (Many customers experienced multiple outages.),"1,500","700,000"
7/19/2006,7/19/2006,"Greater Little Rock, Arkansas",SERC,Load Reduction/Public Appeals Made,40,"8,000"
7/22/2006,7/27/2006,California,WECC,Widespread Heat Wave/Public Appeals Made,200,"1,271,893"
7/27/2006,7/29/2006,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,Severe Thunderstorms,N/A,"167,564"
8/2/2006,8/3/2006,New England,NPCC,Severe Thunderstorms,100-140,"77,000"
8/10/2006,8/12/2006,Southwest Idaho and Eastern Oregon,WECC,Severe Thunderstorm,80 to 100,"65,000"
9/1/2006,9/3/2006,Virginia and North Carolina,SERC,Tropical Storm Ernesto,500,"333,000"
9/1/2006,9/4/2006,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,Tropical Storm Ernesto,N/A,"146,094"
9/1/2006,9/4/2006,Southern Delmarva Peninsula,RFC,Tropical Storm Ernesto,380,"105,000"
9/1/2006,9/4/2006,Southern New Jersey Counties,RFC,Tropical Storm Ernesto,400,"100,000"
9/1/2006,9/1/2006,Eastern North Carolina,SERC,Tropical Storm Ernesto,N/A,"61,000"
9/28/2006,9/28/2006,"North, Central and Eastern Virginia and Northern North Carolina",SERC,Severe Thunderstorms,84,"56,500"
10/2/2006,10/3/2006,"Chicago Metro, Northeast Illinois",RFC,Severe Thunderstorms,N/A,"471,932"
10/2/2006,10/2/2006,"Newhall, San Frenando, Saugus, and Santa Clarita, California",WECC,Shed Firm Load,308,"130,000"
10/12/2006,10/23/2006,Western New York State,NPCC,Snow Storm,600,"250,000"
10/12/2006,10/21/2006,Western New York State,NPCC,Snow Storm,353,"120,000"
10/20/2006,10/22/2006,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,High Winds,N/A,"90,000"
10/26/2006,10/27/2006,"Metro Denver and Boulder, Colorado",MRO,Wet Snow/Winds,N/A,"65,000"
11/15/2006,11/15/2006,Georgia,SERC,Severe Weather,363,"109,000"
11/15/2006,11/19/2006,"Whatcom and Skagit Counties, Washington",WECC,High Winds,50,"50,000"
11/26/2006,12/2/2006,"Snohomish County, Washington",WECC,Wind/Snow Storm,180,"63,992"
11/30/2006,12/9/2006,Missouri and Illinois,MRO,Ice Storm,N/A,"550,000"
12/1/2006,12/2/2006,Ohio,RFC,Wind Storm,N/A,"59,106"
12/13/2006,12/28/2006,Western Washington,WECC,Wind Storm,N/A,"700,000"
12/14/2006,12/17/2006,"Oregon Counties: Multnomah, Clackamas, Washington, Marion",WECC,High Winds,N/A,"249,500"
12/14/2006,12/15/2006,"City of Seattle, Washington",WECC,Wind Storm,750,"175,000"
12/14/2006,12/20/2006,"Snohomish County, Washington",WECC,Wind Storm,360,"172,060"
12/14/2006,12/16/2006,Washington,WECC,High Winds,280,"75,000"
12/14/2006,12/31/2006,"Oregon, Washington, Idaho, Montana",WECC,Wind Storm,258,24
12/16/2006,12/17/2006,"Oregon Counties:  Washington, Yamhill",WECC,Transmission Equipment/Fire,350,"84,500"
12/26/2006,12/31/2006,Northern California,WECC,Severe Weather,420,"850,068"
1/13/2007,1/19/2007,Missouri and Illinois,MRO,Ice Storm,N/A,"225,000"
1/13/2007,1/19/2007,Eastern and Lower Michigan,RFC,Ice Storm,500,"129,607"
1/16/2007,1/17/2007,"Snohomish County, Washington",WECC,Major Windstorm,260,"110,433"
2/13/2007,2/16/2007,Indiana and Southwest Ohio,RFC,Ice/Wind Storm,250,"367,500"
2/13/2007,2/17/2007,Central Maryland,RFC,Winter Storm,400,"155,183"
2/24/2007,2/25/2007,"Cedar Rapids, Iowa",RFC,Ice Storm,750,"215,000"
2/24/2007,2/24/2007,Central Iowa and Cedar Rapids areas,MRO,Ice Storm,400,"140,000"
2/24/2007,3/4/2007,"NE quarter of State of Iowa and Rock Island, Illinois",MRO,Ice Storm,210,"75,000"
2/28/2007,3/2/2007,Northern California,WECC,Winter Storm,110,"671,189"
3/1/2007,3/2/2007,"Parts of Alabama, Mississippi, Georgia, Florida",SERC,Major Storm,95,"25,445"
4/5/2007,4/6/2007,Southern and Coastal Maine,NPCC,Heavy Snow Storm,-,"117,142"
4/12/2007,4/12/2007,"City of Los Angeles, California",WECC,High Winds,200,"158,977"
4/14/2007,4/14/2007,"Massachusetts, New Hampshire, Rhode Island",NPCC,High Winds,65-80,"70,000"
4/16/2007,4/16/2007,"North, East and Central Virginia/Parts of Northeast North Carolina",SERC,High Winds,90,"242,000"
4/16/2007,4/18/2007,Central Maryland - Baltimore City and surrounding Counties,RFC,Severe Thunderstorms,160,"138,000"
